start	end	text
0	500	Yo!
91000	95000	What kind of monster have you left yourself become?
97000	101000	How many women are still out there on your farm?
103000	107000	Your bare hands don't let you joke there!
109000	113000	Your dark collection grows back feeling
113000	118000	Your cold heart stays forever broken
119000	122000	Coffee's not telling lies
123000	125000	Take you really kill your wife
125000	126000	Porto really not worth it
126000	128000	Pickled in from all the highs
129000	131000	Kiss off death and homicides
132000	134000	Coffee's not telling lies
135000	137000	Take you really kill your wife
137000	138000	Porto really not worth it
138000	140000	Pickled in from all the highs
141000	143000	Kiss off death and homicides
143000	148000	Throw it on your wife until she follows that full level
149000	154000	But you make sure there was no happy ever after
155000	160000	And you still somewhere in your home with all the others
161000	164000	Cowfully preserved, floating blood
164000	169000	Strange bodies, bodies, bodies
174000	200000	프로stusch, Sakura
200000	204000	all these sides of this and all these sides
205000	207000	kiss off this and all these sides
